SLOT_HULL_CONSUMABLEVAT|Consumable Vat


SYSTEM_HULLVAT_AMMO_1|MPI Mounted Ammunition Canister

SYSTEM_HULLVAT_AMMO_1_DESC|A lightweight magazine traditionally used to provide extra magazine space for Vilcy vessels utilizing the lesser-used hallways of the vessel. Despite being installed as a secondary system, it still had to make use of the ammunition delivery hatch to bring ammo to the hardpoints, restricting delivery speed to that of the currently installed magazine. The infringement of the air vents caused by various mechanisms used to feed the magazine cause a minor "stuffiness" reported by crews, who may find vessels fitted with them uncomfortable after a longer period of time.

SYSTEM_HULLVAT_AMMO_1_SPECS|Ammunition capacity: 6,000 kg \nNanodrone storage loss: 25% \nDry mass: 3,000 kg \nManufacturer: Mars Power Industries 

SYSTEM_HULLVAT_AMMO_MANUAL|Additional ammunition for mass drivers. Compatible with mass drivers and railguns. \nAmmunition delivery rate dependant on installed magazine. \nAmmunition sold separately at dive start. \nHUD sensor displays may or may not display new values correctly.

    

SYSTEM_HULLVAT_AMMO_2|ND Hollowed Hull Ammunition Magazine

SYSTEM_HULLVAT_AMMO_2_DESC|Originally based on smuggling mechanisms used during conflicts, the ND HHAM (frequently nicknamed by industry insiders the "Ham") makes use of spare space within the ship's hull alongside a large portion of the nanodrone cartridge space to fit in a whopping 15 tonnes of extra mass driver ammunition. Although commonly reserved for Vilcy-licensed specialists, the Ham made it's way onto the civillian market due to a recent reduction in required licensing to allow for those who suffer from a trigger finger to mine without as much issue, without causing Kessler syndrome in the process.

SYSTEM_HULLVAT_AMMO_2_SPECS|Ammunition capacity: 15,000 kg \nNanodrone storage loss: 50% \nDry mass: 10,000 kg \nManufacturer: Nakamura Dynamics 



SYSTEM_HULLVAT_AMMO_EXTEND_1|Antonoff Ammunition Expansion Kit

SYSTEM_HULLVAT_AMMO_EXTEND_1_DESC|This kit makes use of processed storage space to store additional projectiles based on currently installed kits. Due to Enceladus's current equipment labelling laws, reduction percentages will be equivalent regardless of vessels, leading to potentially lost space among many vessels. This however will benefit vessels with smaller internal holds or larger magazine capacities, with smaller losses or larger gains from the laws.

SYSTEM_HULLVAT_AMMO_EXTEND_1_SPECS|Ammunition capacity modifier: +33% \nAmmunition capacity: 1,000 kg \nProcessed mineral hold reduction: 10% \nDry mass: 9,000 kg \nManufacturer: Antonoff



SYSTEM_HULLVAT_AMMO_EXTEND_2|Antonoff 2x Ammunition Expansion Kit

SYSTEM_HULLVAT_AMMO_EXTEND_2_DESC|A double coupling of Conlindo's AEK, with twice the potential capacity provided and twice the restrictions. Due to technical restraints, some additional mass had to be added to allow for two mechanisms to work simultaneously.

SYSTEM_HULLVAT_AMMO_EXTEND_2_SPECS|Ammunition capacity modifier: +67% \nAmmunition capacity: 2,000 kg \nProcessed mineral hold reduction: 20% \nDry mass: 20,000 kg \nManufacturer: Antonoff



SYSTEM_HULLVAT_AMMO_EXTEND_3|Obonto Projectile Extendo+

