SYSTEM_CARGO_AUX_PREPROC_0x30|Rasamama RP-25

SYSTEM_CARGO_AUX_PREPROC_0x30_DESC|The Rasamama Material Solutions RP-25 is a low-profile ore preprocessor designed to exclusively melt ice from mineral chunks within a vessel's cargo bay and little else. The unit taps the reactor turbine bleed line for thermal power and requires very little electrical energy to function. \n\nRemass is recovered by running process exhaust through a condenser-radiator panel mounted to the vessel's hull. Rasamama MS recommends monthly flow tests followed by hot gas purges to prevent fouling.

SYSTEM_CARGO_AUX_PREPROC_0x30_SPECS|Ice melt rate: 15 kg/s \nPreprocessor remass processing efficiency: 45% \nPreprocessor Power draw: 1,250 kW / chunk \nMPU mineral efficiency multiplier: x100% (no change) \nMPU processing speed change: -10 kg/s \nMPU power change: minimal reductions \nMass: 750 kg \nManufacturer: Rasamama Material Solutions



SYSTEM_CARGO_AUX_PREPROC_20x10|Nakamura Big MT

SYSTEM_CARGO_AUX_PREPROC_20x10_DESC|Nakamura Dynamics' Big MT Ore Preprocessor utilises the fundamental principles of its operation to its advantage when processing ore chunks. Free steam in the cargo bay is superheated by the unit's massive toroidal radiator, quickly sublimating ice and preheating the resultant metal particulates for more efficient processing. \n\nWhile some process steam can be reclaimed as propellant, the unit's compact condenser is often overloaded by the sheer volume and high temperatures. \n\nDisclaimer: no Lobotomites were harmed in the development of this unit.

SYSTEM_CARGO_AUX_PREPROC_20x10_SPECS|Ice melt rate: 20 kg/s \nPreprocessor remass processing efficiency: 25% \nPreprocessor Power draw: 125 kW / chunk \nMPU mineral efficiency multiplier: x115% \nMPU processing speed change: 90% nominal speed \nMPU power change: 10% reduction \nMass: 2,000 kg \nManufacturer: Nakamura Dynamics



SYSTEM_CARGO_AUX_PREPROC_40x20|Rusatom-Antonoff MPP-N1

SYSTEM_CARGO_AUX_PREPROC_40x20_DESC|The MPP-N1 is one of the best mineral preprocessors on the market, offering excellent efficiency gains and propellant reclamation yields with a magnetohydrodynamic system. \n\nThe unit repurposes reactor powerplant exhaust as its heat source, emitting it into the bay through a bulb at its centre. Electromagnetic coils surrounding the bulb control temperatures through inductive heating. \n\nProcess steam and trace minerals are recovered by a baffled condenser. Replacement of the condenser assembly is recommended after 320 flight-hours to ensure maximum efficiency.

