SYSTEM_CARGO_AUX_PREPROC_0x30|Rasamama RP-25

SYSTEM_CARGO_AUX_PREPROC_0x30_DESC|Rasamama Material Solutions RP-25 — это малогабаритная установка предварительной обработки руды (препроцессор), предназначенная исключительно для растопления льда с кусков минералов в грузовом отсеке судна и не более того. Установка использует линию отбора пара из турбины реактора для получения тепловой энергии и требует очень мало электроэнергии для своей работы. \n\nРабочее тело получается за счёт пропускания отходящих газов через конденсаторно-радиаторную панель, установленную на корпусе судна. Rasamama MS рекомендует проводить ежемесячные испытания потока с последующей продувкой горячим газом для предотвращения загрязнения.

SYSTEM_CARGO_AUX_PREPROC_0x30_SPECS|Скорость таяния льда: 20 кг/с \nЭффективность переработки препроцессора: 45% \nЭнергопотребление: 1250 кВт/осколок \nКоэффициент эффективности обработки минералов УПМ: x100% (без изменений) \nИзменение скорости обработки УПМ: -10 кг/с \nИзменение мощности УПМ: минимальное снижение \nМасса: 750 кг \nПроизводитель: Rasamama Material Solutions

SYSTEM_CARGO_AUX_PREPROC_20x10|Nakamura Big MT

SYSTEM_CARGO_AUX_PREPROC_20x10_DESC|Установка предварительной обработки руды (препроцессор) Big MT компании Nakamura Dynamics использует основные принципы обработки руды в своих интересах. Свободный пар в грузовом отсеке перегревается мощным тороидальным радиатором установки, что обеспечивает быстрое сублимирование льда и предварительный нагрев образующихся металлических частиц для более эффективной обработки. \n\nХотя часть технологического пара может быть использована в качестве топлива, компактный конденсатор установки часто перегружен из-за большого объёма и высоких температур. \n\nВнимание: при разработке этой установки ни один лоботомит не пострадал.

SYSTEM_CARGO_AUX_PREPROC_20x10_SPECS|Скорость таяния льда: 25 кг/с \nЭффективность переработки препроцессора: 10% \nЭнергопотребление: 125 кВт/осколок \nКоэффициент эффективности обработки минералов УПМ: x115% \nИзменение скорости обработки УПМ: 90% от номинальной \nИзменение мощности УПМ: снижение на 10% \nМасса: 2000 кг \nПроизводитель: Nakamura Dynamics

SYSTEM_CARGO_AUX_PREPROC_40x20|Rusatom-Antonoff MPP-N1

SYSTEM_CARGO_AUX_PREPROC_40x20_DESC|MPP-N1 — один из лучших препроцессоров (установка предварительной обработки руды) на рынке, обеспечивающий превосходный прирост эффективности и выхода топлива благодаря магнитогидродинамической системе. \n\nУстановка использует выхлопные газы реакторной установки в качестве источника тепла, подавая их в отсек через колбу в центре. Электромагнитные катушки, окружающие колбу, регулируют температуру посредством индукционного нагрева. \n\nТехнологический пар и микроэлементы улавливаются конденсатором с перегородками. Для обеспечения максимальной эффективности рекомендуется замена конденсаторного блока через 320 летных часов.

SYSTEM_CARGO_AUX_PREPROC_40x20_SPECS|Скорость таяния льда: 40 кг/с \nЭффективность переработки рабочей массы препроцессором: 20% \nЭнергопотребление: 375 кВт/осколок \nКоэффициент эффективности обработки минералов УПМ: x130% \nИзменение скорости обработки УПМ: 80% от номинальной скорости \nИзменение мощности УПМ: снижение на 20% \nМасса: 6500 кг \nПроизводитель: «Rusatom-Antonoff»

SYSTEM_CARGO_PREPROC_P15|Rusatom Chunk Cutter

SYSTEM_CARGO_PREPROC_P15_DESC|RCC был разработан на заре развития технологий модификации отсеков и, в отличие от большинства компаний того времени, фокусировался на способности пропускать руду через препроцессор, а не на эффективности её выхода. Используя постоянное, но тонкое покрытие из магния, подсвечиваемое лазерами зажигания препроцессора, вода искусственно вытапливается, что сокращает время прохождения куска через препроцессор. Дополнительное тепло, выделяемое при зажигании, приводит к небольшому дальнейшему плавлению, однако из-за сильного содержания примесей, образующихся в процессе, он непригоден для регенерации топлива. \n\nЗаправочные блоки из магниевого порошка доступны бесплатно на Энцеладе Прайм.

SYSTEM_CARGO_PREPROC_P15_SPECS|Коэффициент скорости переработки УПМ: 100% от скорости УПМ \nМодификатор скорости переработки вторичного УПМ: 15 кг/с \nДополнительные затраты мощности УПМ на один блок: минимальные \nЭнергопотребление: 150 кВт/осколок \nСкорость таяния льда: 5 кг/с \nМасса: 1220 кг \nПроизводитель: «Rusatom»

SYSTEM_CARGO_PREPROC_M35|MAD Heating Coils

SYSTEM_CARGO_PREPROC_M35_DESC|Этот специализированный блок переработки использует структурированное плавление кусков руды, поступающих в отсек, для создания более хрупкой структуры льда. Этот блок также оснащен вторичным блоком повышения эффективности, который крепится к самому блоку УПМ для повышения скорости обработки и скорости извлечения минералов. \n\nЭто устройство подвергается серьёзной критике со стороны компаний, использующих его в течение длительного времени, поскольку фирменные компоненты быстро выходят из строя уже через несколько месяцев использования.

SYSTEM_CARGO_PREPROC_M35_SPECS|Коэффициент скорости переработки УПМ: 135% от скорости УПМ \nМодификатор скорости переработки вторичного УПМ: 10 кг/с \nДополнительные затраты мощности УПМ на один кусок: ~38% \nСкорость таяния льда: 30 кг/с \nЭффективность переработки топлива препроцессора: 10% \nЭнергопотребление: 550 кВт/осколок \nМножитель эффективности переработки минералов УПМ: x110% \nМасса: 4780 кг \nПроизводитель: Machines Astro-Dynamiques

SYSTEM_CARGO_PREPROC_M85|MS Frakker

SYSTEM_CARGO_PREPROC_M85_DESC|Frakker от Mitsudaya-Starbus использует комбинацию высокопроизводительных катушек и чипов распознавания образов для оптимизации таяния и разрушения льда. Использование чипов ИИ с функцией распознавания образов связано с методом геологической разведки, распространённым в начале XXI века, когда был высок интерес к алгоритмам LLM для наблюдения и определения оптимального способа дробления руды с сохранением потерь минералов, превышающих потери базового блока. В результате использование этого блока сопряжено с большими энергозатратами, поскольку отслеживание каждого куска руды создаёт дополнительное потребление энергии за всё время его нахождения в зоне сканирования. \n\nВыделяемое этим блоком тепло также вызывает небольшое плавление кусков руды, однако система его переработки в рабочее тело так и не была создана.

