SYSTEM_CARGO_AUX_STORAGE_4K|Внутренний стеллаж для хранения от Conlido

SYSTEM_CARGO_AUX_STORAGE_4K_DESC|Внутренний стеллаж для хранения от Conlido RVM, испытанный и использовавшийся шахтерами пояса астероидов в начале 22-го века, представляет собой относительно простую концепцию со сложной реализацией. Этот модульный комплект для модернизации позволяет подключать существующие устройства к трубопроводам перерабатываемых материалов большинства крупных судов, доступных на рынке. \n\nДополнительные микроотсеки для расходных материалов изначально были сторонними модификациями, однако их огромная популярность побудила Conlindo внедрить их в базовую модель хотя и не очень изящно.

SYSTEM_CARGO_AUX_STORAGE_4K_SPECS|Хранилеще переработанной руды: 4000 кг / минерал (всего 24 000 кг) \nВместимость боеприпасов: 3000 кг \nВместимость дронов: 3000 кг \nЗапас топлива: 5000 кг \nМасса: 3000 кг \nПроизводитель: Conlido RVM

SYSTEM_CARGO_AUX_STORAGE_MANUAL|Для корректной работы требуется установка переработки руды (УПМ). \nПассивно увеличивает объём хранилищ на борту. \nПереработанная руда хранится в отдельных контейнерах, вместимость которых ограничена для каждого типа минерала. \nЗанимает некоторое место в грузовом отсеке. \nНе требует электроэнергии или нагрева реактора.



SYSTEM_CARGO_AUX_STORPROC_8K|Модуль резервуара для минералов THI

SYSTEM_CARGO_AUX_STORPROC_8K_DESC|Решение Titan Heavy Industries для внутреннего хранения является одновременно экспериментальным и новаторским. Благодаря использованию тепла реактора от радиаторов судна, обработанные материалы могут храниться в жидком состоянии неограниченное время, что повышает эффективность хранения до 20%. \n\nНекоторые горнодобывающие компании используют это устройство в качестве примитивного предварительного переработчика руды, поскольку относительно тонкая изоляция отводит тепло в пространство между резервуарами. THI не одобряет и не рекомендует использовать его таким образом.

SYSTEM_CARGO_AUX_STORPROC_8K_SPECS|Хранилеще переработанной руды: 8000 кг / минерал (всего 48 000 кг) \nСкорость таяния льда: 5 кг/с \nЭнергопотребление: 250 кВт/осколок (потери на нагрев) \nЭффективность переработки топлива: 10% \nИзменение скорости переработки УПМ: 110% от номинальной скорости \nИзменение энергопотребленния УПМ: увеличение на 10% \nМасса: 8000 кг \nПроизводитель: Titan Heavy Industries

SYSTEM_CARGO_AUX_STORPROC_MANUAL|Для корректной работы требуется установка переработки руды (УПМ). \nПассивно увеличивает объём хранилища на борту. \nПереработанная руда хранится в отдельных контейнерах, вместимость которых ограничена для каждого типа полезного ископаемого. \nУменьшает массу льда в кусках на небольшой площади. \nЗанимает некоторое пространство в грузовом отсеке.



SYSTEM_CARGO_AUX_STORAGE_12K|Силовой бункер MPI Roving

SYSTEM_CARGO_AUX_STORAGE_12K_DESC|Силовой бункер MPI Roving — самый большой на сегодняшний день
