SYSTEM_DND_HARVTUG|Дроны-перехватчики Hard-Stop OT

SYSTEM_DND_HARVTUG_DESC|Система доставки нанодронов Obonto-Titan Hard-Stop представляет собой модификацию системы класса Harvester компании THI, предназначенную для плавной остановки объектов с высоким альбедо относительно колец. Первоначально разработанная для OCP-209 в качестве запатентованного метода предотвращения потери оборудования, после заключения коммерческих соглашений в 2260-х годах она начала поставляться на рынок.

SYSTEM_DND_HARVTUG_SPECS|Энергопотребление: 120 МВт \nЭффективная дистанция: 800 м (прямая видимость) \nСкорость запуска дронов: 100 дронов/с \nНачльная масса дрона: 0,1 кг \nТяга: 1 кН (на дрона) \nМасса: 8000 кг \nПроизводитель: Obonto Micro Engineering / Titan Heavy Industries


SYSTEM_DND_HARVHAUL|Дроны-погрузчики класса «Harvester»

SYSTEM_DND_HARVHAUL_DESC|Это чудовищное устройство представляет собой промышленную сборочную линию, маскирующуюся под сборщик одноразовых нанодронов. Его огромная инфракрасная лазерная решётка и сборочный блок подключены к отдельным низковольтным шинам, но когда они получают достаточно мощности это зрелище захватывает дух. Нанодроны направляют небольшие объекты с высоким альбедо к грузовому отсеку корабля.

SYSTEM_DND_HARVHAUL_SPECS|Энергопотребление: 120 МВт \nЭффективная дистанция: 800 м (прямая видимость) \nСкорость запуска дронов: 100 дронов/с \nНачльная масса дрона: 0,1 кг \nТяга: 1 кН (на дрона) \nМасса: 8000 кг \nПроизводитель: Titan Heavy Industries


SYSTEM_EXODYN|Грузовой контейнер THI Dyna

SYSTEM_EXODYN_DESC|Экспериментальный динамический вариант грузового контейнера THI, представленный публике в середине 2200-х годов. Для использования требуется установка переработки минералов. Приобретение грузового контейнера включает в себя аренду, покрывающую поставку новых контейнеров в течение всего срока действия лицензии владельца. \n\nDyna-Cargo — товарный знак Titan Heavy Industries. Все права защищены. n\n\Управление станции предупреждает: использование с определёнными РСУ в определённых конфигурациях может привести к перегревам микрореактора грузового контейнера. Капитаны несут всю ответственность за последствия таких инцидентов.

SYSTEM_EXODYN_SPECS|Вместимость хранилища: 72 000 кг (общая) \nЭнергопотребление (номинальное): 20 МВт \nМасса пустого аппарата: 500 кг \nПроизводитель: Titan Heavy Industries


SYSTEM_EXOBIG|Грузовой контейнер THI Jumbo

SYSTEM_EXOBIG_DESC|«Джамбо» — это модификация грузового контейнера THI, которая

SYSTEM_EXSTORAGE_ALT|Грузовой контейнер THI (альт.)

SYSTEM_EXSTORAGE_ALT_DESC|Грузовые контейнеры Titan Heavy Industries, также известные как ТНІ-СС, представляют собой полностью автономные капсулы для хранения и транспортировки переработанной руды. После отключения подвеса капсула автоматически возвращается на указанную станцию. Для использования необходима установка переработки минералов. Покупка люльки сопровождается договором, покрывающим ремонт и пополнение запаса новых капсул на всё время действия лицензии. \n\nУправление станции предупреждает: использование с определёнными РСУ в определённых конфигурациях может привести к перегревам микрореактора грузового контейнера. Капитаны несут всю ответственность за последствия таких инцидентов. \n\nЭта альтернативная версия для серии Prospector расположена в средней части судна для улучшения маневренности.

SYSTEM_EXMONO_ALT|Моногрузовой контейнер THI (альт.)

SYSTEM_EXMONO_ALT_DESC|Однорудный вариант стандартного грузового контейнера THI (THI-СС) для специализированных горных работ, сосредоточенных на сборе конкретного вида руды. Для использования требуется установка по переработке минералов. Покупка люльки сопровождается договором, покрывающим ремонт и пополнение запаса новых капсул на всё время действия лицензии. \n\nУправление станции предупреждает: использование с определёнными РСУ в определённых конфигурациях может привести к перегревам микрореактора грузового контейнера. Капитаны несут всю ответственность за последствия таких инцидентов. \n\nЭта альтернативная версия для серии Prospector расположена в средней части судна для улучшения маневренности.

SYSTEM_EXODYN_ALT|Грузовой контейнер THI Dyna (альт.)

SYSTEM_EXODYN_ALT_DESC|Экспериментальный динамический вариант грузового контейнера THI, представленный публике в середине 2200-х годов. Для использования требуется установка переработки минералов. Приобретение грузового контейнера включает в себя аренду, покрывающую поставку новых контейнеров в течение всего срока действия лицензии владельца. \n\nDyna-Cargo — товарный знак Titan Heavy Industries. Все права защищены. n\n\Управление станции предупреждает: использование с определёнными РСУ в определённых конфигурациях может привести к перегревам микрореактора грузового контейнера. Капитаны несут всю ответственность за последствия таких инцидентов. \n\nЭта альтернативная версия для серии Prospector расположена в средней части судна для улучшения маневренности.
