SLOT_CARGOBAY_MOD|Комплекты для хранения минералов



SYSTEM_CARGO_MOD_2K|Седловые сумки SSE

SYSTEM_CARGO_MOD_2K_DESC|Базовый набор модулей расширения от Sin Space Engineering, обеспечивающий небольшое увеличение объёма грузового трюма. Отказ от ответственности: использование нелицензированного оборудования может привести к аннулированию гарантии вашего судна.

SYSTEM_CARGO_MOD_2K_SPECS|Грузоподъёмность: 2000 кг на тип руды (всего 12 000 кг) \nСовместимость: раздельная и динамическая \nМасса: 1620 кг \nПроизводитель: Sin Space Engineering


SYSTEM_CARGO_MOD_4K|Расширение трюма E-Prime

SYSTEM_CARGO_MOD_4K_DESC|Заказ на расширение обработанного трюма вашего судна, предоставленный местной верфью. Установка включает в себя гарантию возврата денег, специальное гарантийное приложение и полную проверку структурной целостности для вашего спокойствия. Летайте безопасно!

SYSTEM_CARGO_MOD_4K_SPECS|Грузоподъемность: 4000 кг на тип руды (всего 24 000 кг) \nСовместимость: раздельная и динамическая \nМасса: 3340 кг \nПроизводитель: Н/Д


SYSTEM_CARGO_MOD_6K|Контейнеры Conlido FreightReady

SYSTEM_CARGO_MOD_6K_DESC|Комплект встроенных в корпус контейнеров для минералов, в которых реализована запатентованная технология Never-Void, гарантирующая максимальное использование всего доступного пространства. Поставляется с гарантийным приложением. Этот продукт был протестирован РЕАЛЬНЫМИ шахтерами, работающими в РЕАЛЬНЫХ КОСМИЧЕСКИХ УСЛОВИЯХ! \n\nПримечание: суда, оснащенные оборудованием, выпущенным после 2237 года, не имеют права требовать компенсацию за травмы на рабочем месте, связанные с эксплуатацией / обслуживанием / установкой / демонтажом / использованием, а также визуальным / слуховым / вкусовым / обонятельным / физическим / психическим контактом с контейнерами Conlido freightReady. Ознакомьтесь с надлежащими рабочими процедурами и требованиями к ним, прежде чем приступать к работе с контейнерами Conlido freightReady.

SYSTEM_CARGO_MOD_6K_SPECS|Грузоподъемность: 6000 кг на тип руды (всего 36 000 кг) \nСовместимость: раздельная и динамическая \nМасса: 5560 кг \nПроизводитель: Conlido RVM


SYSTEM_CARGO_MOD_BOTH_MANUAL|Для правильного использования требуется УПМ. \nПассивно увеличивает объем хранилища руды.



SYSTEM_CARGO_MOD_BOLTS|Стопорные болты

SYSTEM_CARGO_MOD_BOLTS_DESC|Набор стандартных стопорных болтов для судов с трюмами с изменяемой геометрией, устанавливаемых в соответствующие точки крепления.

SYSTEM_CARGO_MOD_BOLTS_SPECS|Режим преобразования: Динамический в Раздельный \nКоэффициент преобразования: 1:1 (без сокращения) \nСокращение массы: 2650 кг

SYSTEM_CARGO_MOD_BOLTS_MANUAL|Преобразует объём хранения минеральных грузов в Раздельный. \nСекции делятся поровну на шесть частей от общей вместимости. \nНе требует электроэнергии или нагрева реактора.



SYSTEM_CARGO_MOD_AMORPH4|Conlido aMorphIV

SYSTEM_CARGO_MOD_AMORPH4_DESC|Хотя экспериментальная геометрия хранилища Cothon-217 имела ограниченный успех, компания Conlido RVM по-прежнему была увлечена этой концепцией. После заключения соглашений между производителями судов на проведение испытаний, несмотря на неудачные старты и срывы сроков, комплект для переоборудования трюма aMorphIV в конечном итоге вышел на рынок. \n\nЕго модульные компоненты могут быть модернизированы под все судовые системы, доступные в настоящее время на рынке, и основаны на тех же фундаментальных принципах, что и судно-оригинал.

SYSTEM_CARGO_MOD_AMORPH4_SPECS|Режим преобразования: Раздельный в Динамический\nКоэффициент преобразования: 2:1 (снижение на 50%)\nМасса: 1500 кг\nМасса механизма: 20 кг на тонну потерянного обрабатываемого пространства\nПроизводитель: Conlido RVM



SYSTEM_CARGO_MOD_AMORPH5|THI MD-5

SYSTEM_CARGO_MOD_AMORPH5_DESC|Комплект для трюма от Titan Heavy Industries MD-5 хорошо известен среди инженеров судостроительных верфей своими складывающимися в форме гармошки внутренними объёмами. Опыт предыдущих реализаций был усвоен, и в результате оборудование занимает гораздо меньше места в трюме, но компактные линейные приводы и прецизионная сборка приводят к высоким первоначальным затратам.

SYSTEM_CARGO_MOD_AMORPH5_SPECS|Режим преобразования: Раздельный в Динамический\nКоэффициент преобразования: 3:2 (снижение на 33%)\nМасса: 2500 кг\nМасса механизма: 75 кг на тонну потерянного обрабатываемого пространства\nПроизводитель: Titan Heavy Industries



SYSTEM_CARGO_MOD_AMORPH6|NDSBH

SYSTEM_CARGO_MOD_AMORPH6_DESC|Комплект Soft Body Hold от Nakamura Dynamics — это комплекс для преобразования из раздельного в динамический, который позволяет заменить стандартные перегородки простой, но эффективной системой вращающихся перегородок, изготавливаемой по индивидуальному заказу в соответствии с характеристиками судна. Сжатый воздух создает амортизацию без трения при движении перегородок, а управляющий компьютер управляет и прогнозирует будущие изменения геометрии, напрямую взаимодействуя с процессором грузового отсека и системой микросейсмической визуализации.

SYSTEM_CARGO_MOD_AMORPH6_SPECS|Режим преобразования: Раздельный в Динамический \nКоэффициент преобразования: 6:5 (снижение на 17%) \nМасса: 3750 кг \nМасса механизма: 165 кг на тонну потерянного обрабатываемого пространства \nПроизводитель: Nakamura Dynamics


SYSTEM_CARGO_MOD_AMORPH_MANUAL|Для правильного использования требуется УПМ. \nПреобразует объём хранилища минералов в Динамический. \nУвеличивает или уменьшает общий объём хранилища в зависимости от коэффициента преобразования. Процент указан в спецификации. \nНе требует электроэнергии или тепла реактора.
