SLOT_HULL_CONSUMABLEVAT|Consumable Vat


SYSTEM_HULLVAT_AMMO_1|Дополнительная кассета с боеприпасами MPI

SYSTEM_HULLVAT_AMMO_1_DESC|Облегченный магазин, традиционно используемый для увеличения боезапаса на судах Vilcy, устанавивается в редко используемые коридоры судна. Несмотря на установку в качестве вспомогательной системы, магазину всё равно приходится использовать люк подачи боеприпасов для доставки боеприпасов к узлам подвески, что ограничивает скорость подачи боеприпасов скоростью, доступной для текущего магазина. Повреждение вентиляционных отверстий различными механизмами, используемыми для подачи боеприпасов в магазин, вызывает небольшую «заложенность», о которой сообщают экипажи, которые могут испытывать дискомфорт на судах, оборудованных такими системами, после длительного пребывания в них.

SYSTEM_HULLVAT_AMMO_1_SPECS|Вместимость: 6,000 kg \nУменьшение хранилища нанодронов: 25% \nСобственная масса: 3,000 kg \nПроизводитель: Mars Power Industries 

SYSTEM_HULLVAT_AMMO_MANUAL|Дополнительные боеприпасы для кинетического оружия. Совместим с электромагнитными пушками и рельсотронами.\n Скорость подачи боеприпасов зависит от установленного магазина.\n Боеприпасы продаются отдельно на старте полета. \nДатчики HUD могут отображать новые значения правильно или неправильно.



SYSTEM_HULLVAT_AMMO_2|ND Hollowed Hull Ammunition Magazine

SYSTEM_HULLVAT_AMMO_2_DESC|Первоначально основанный на контрабандных механизмах, применявшихся во время конфликтов, ND HHAM (часто называемый просто «Ham») использует свободное пространство в корпусе корабля для размещения целых 15 тонн дополнительного боекомплекта. Хотя обычно он предназначен для специалистов с лицензией Vilcy, Ham попал на гражданский рынок благодаря недавнему снижению требований к лицензированию, что позволило тем, у кого есть проблемы с пальцем на спусковом крючке, заниматься добычей без особых проблем, не вызывая синдрома Кесслера.

SYSTEM_HULLVAT_AMMO_2_SPECS|Вместимость: 15,000 kg \nУменьшение хранилища нанодронов: 50% \nСобственная масса: 10,000 kg \nПроизводитель: Nakamura Dynamics 



SYSTEM_HULLVAT_AMMO_EXTEND_1|Комплект расширения амуниции Antonoff

SYSTEM_HULLVAT_AMMO_EXTEND_1_DESC|Этот комплект использует переработанное складское пространство для хранения дополнительных снарядов, исходя из уже установленных комплектов. В связи с действующими на Энцеладе законами о маркировке оборудования, процент сокращения будет одинаковым для всех судов, что может привести к потенциальной потере места на многих судах. Однако это принесет пользу судам с меньшими внутренними трюмами или большей ёмкостью боезапаса, что позволит им получить меньшие потери или большую выгоду от соблюдения законов.

SYSTEM_HULLVAT_AMMO_EXTEND_1_SPECS|Модификатор вместимости боезапаса: +33% \nВместимость боезапаса: 1,000 кг \nУменьшение хранилища переработанных минералов: 10% \nСобственная масса: 9000 кг \nПроизводитель: Antonoff



SYSTEM_HULLVAT_AMMO_EXTEND_2|Двойной комплект расширения амуниции Antonoff

SYSTEM_HULLVAT_AMMO_EXTEND_2_DESC|Двойная муфта КРА от Conlindo с вдвое большей потенциальной мощностью и вдвое большими ограничениями. Из-за технических ограничений пришлось для одновременной работы двух механизмов масса увеличалась.

