locale|ru_RU

SHIP_YME|Y-ME Fission Retrofit

SHIP_YME_SPECS|Производитель: Злые бывшые работники-Eon Interstellar \nВысокопрочные подвесы: 1\nМалопрочные подвесы: 2\nЭкипаж: 5\nСухая масса: 34,500 kg \nОбъём грузового отсека: 140 m^3 \nХранилище переработанной руды (на каждый тип): 11,000 kg

SHIP_YME_DESC|Этот корабль был создан несколькими недовольными сотрудниками Eon Interstellar, которые отделились из-за неэффективного управления компанией как своими сотрудниками, так и отделом по связям с общественностью. Они объединились, чтобы создать более экономически выгодное судно, сделав сияющий корпус EIME более доступным для тех, кто не занимает высокооплачиваемые должности. \n\nИз-за особенностей оригинального корпуса EIME пришлось установить специальный реактор с жидкостным барабаном, чего хотели многие конечные пользователи оригинального судна. Для модернизации был использован старый реактор, оставшийся от K37, списанных для строительства жилых зон Энцелада Прайм, поскольку он был в общем распоряжении.

SYSTEM_REACTOR_EIME_REFIT|Реактор для замены жидкостного барабана

SHIP_OCP-SALVAGE|OCP-209 Спасенный корпус

SHIP_OCP-SALVAGE_SPECS|Производитель: Obonto Microengineering\nМанипуляторы встроенные в отсек: 1\nВысокопрочные подвесы: 2\nМалопрочные подвесы: 2\nЭкипаж: 8\nСухая масса: 184,500 kg\nОбъём грузового отсека: да\nХранилище переработанной руды (общее): 50,000 kg

SHIP_OCP-SALVAGE_DESC|Этот корабль был найден в переулке за Sin Space Engineering. Мы спросили, можем ли мы его забрать, но (неоплачиваемый) стажёр, работающий в атриуме, сказал, что ему всё равно, и мы забрали. Весь грузовой отсек был вырезан и заменён манипулятором, как мы полагаем, отчасти для того, чтобы создать конкурента MAD-CERF, а отчасти потому, что Sin Space Engineering не знала, что делать с остальной частью OCP после создания линейки кораблей OK720.

SHIP_CK65|CK-65

SHIP_CK65_SPECS|Производитель: Conlindo / Rusatom-Antonoff\nМалопрочные подвесы: 2\nПодвесы для дронов: 2\nЭкипаж: 12\Сухая масса: 82,000 kg \nОбъём грузового отсека: 40 m^3\nХранилище переработанной руды (на каждый тип): 37,500 kg

SHIP_CK65_DESC|Расцвет переработки полезных ископаемых обусловил потребность в кораблях, способных перевозить значительные объёмы этого сырья для межпланетных перелётов. Столетний опыт создания кораблей класса «Cothon» продемонстрировал жизнеспособность автоматизированных кораблей для путешествий, и «Eagles» были выбраны в качестве судна для завершения нового проекта. Значительная часть грузового отсека была урезана, чтобы разместить шесть гигантских отсеков для хранения обработанных грузов, а также роскошный жилой отсек для 12 пассажиров. Значительная часть оборудования «Орла» была оставлена ​​для удобства капитанов, однако дробилка была заменена стандартным экскаватором для повышения надёжности.

SHIP_CK69|CK-69

SHIP_CK69_SPECS|Производитель: Conlindo / Rusatom-Antonoff\nМалопрочные подвесы: 2\nПодвесы для дронов: 2\nЭкипаж: 12\nСухая масса: 102,000 kg \nОбъём грузового отсека: 40 m^3 \nХранилище переработанной руды (общее): 200,000 kg

SHIP_CK69_DESC|Успех CK-65 привёл к созданию более совершенной модели CK-69, способной обрабатывать любые объёмы руды, но ценой несколько меньшего общего объёма трюма. Он использовался во время спадов производительности на Энцеладе, когда стандартный CK-65 терял место из-за отсутствия определённого минерала. Тем не менее, он был очень популярен среди шахтёров, которые могли надёжнее добывать большие объёмы руды.

SHIP_PROSPECTOR_RAM|Prospector RAM

SHIP_PROSPECTOR_RAM_DESC|Модификационные решения Ringa Aftermarket приносят в жертву грузовое пространство ради расширения возможностей за счёт использования трофеев и поддельных деталей с различных моделей кораблей. RAM был модифицирован высокопрочными-подвесами от Vulture, электроникой и датчиками от KR-37, хранилищем переработанной руды от Cothon Bender и т. д. Кроме этого также установленно множество оригинальных модификаций. Короткий широкий грузовой отсек, увеличенная грузовая дверь и увеличенная дробилка, усиленная и модернизированная опора руки манипулятора, двигатели и система турелей-резаков, усиленный реактор и т. д. Это достигается за счёт очень большой массы корабля для корабля его размера, уменьшенной вдвое вместимости обрабатываемых ресурсов, уменьшенной вместимости экипажа и чрезвычайно высокой цены. Prospector RAM может справиться с любой ситуацией в кольце, но его большая масса и малая вместимость делают его посредственным горнодобывающим кораблём.

SHIP_PROSPECTOR_RAM_SPECS|Производитель: Unknown\nВысокопрочные подвесы: 1\nМалопрочные подвесы: 2\nПодвесы для дронов: 2\nЭкипаж: 4\nСухая масса: 54,380 kg\nХранилище переработанной руды (общее): 40,000 kg\n Защита от ЭМИ: 200 MW

SHIP_OCP213_TWIN|OCP-213 Twin

SHIP_OCP213_TWIN_SPECS|Производитель: Obonto Microengineering\nВысокопрочные подвесы: 2\nМалопрочные подвесы: 2\nЭкипаж: 8\nСухая масса: 187,500 kg\nОбъём грузового отсека: 610 m^3\nХранилище переработанной руды (общее): 50,000 kg

SHIP_OCP213_TWIN_DESC|Незначительная модификация стандартной модели OCP-209. Twin добавляет второе крепление для горелки и разделяет их в V-образной форме, что позволяет выполнять более разнообразные маневры, особенно при комбинировании перемещения и вращения.



SHIP_TRTL_PEEPER|OCK Peeper TNTRL

SHIP_TRTL_PEEPER_DESC|Модификация OK720 компании Sin Space Engineering, изготовленная по индивидуальному заказу. Жилой отсек для экипажа перенесён за грузовой отсек для повышения безопасности и снижения вероятности травмирования при горных работах. Необычная форма носовой части корабля значительно смещает узлы подвески относительно центра, однако дополнительные структурные элементы отсека позволяют разместить высокопрочный узел подвески вдоль хребта. \n\nВ связи с особенностями изменённого расположения жилого отсека для экипажа между ними установлен большой свинцовый экран радиационной защиты, а также экипажи получают бесплатный препарат Ketron Isoboost в дозе 150 мг в день во время и в течение месяца после полёта на этом судне.

SHIP_TRTL_PEEPER_SPECS|Производитель: Conlindo / Obonto Microengineering \nВысокопрочные подвесы: 1 \nМалопрочные подвесы: 4 \nЭкипаж: 4 \nСухая масса: 101,400 kg \nОбъём грузового отсека: 600 m^3 \nХранилище переработанной руды (общее): 25,000 kg
