SYSTEM_CAPACITOR_100|Лёгкий ультраконденсатор

SYSTEM_CAPACITOR_100_DESC|Фрактальный графеновый цилиндрический ультраконденсатор для хранения избыточной выработанной энергии, обеспечивающий её доступность в периоды пиковой нагрузки. Компактное устройство по разумной цене.

SYSTEM_CAPACITOR_100_SPECS|Емкость: 100 МДж \nПиковая мощность: 10 ГВт \nМасса: 400 кг \nПроизводитель: Obonto Micro Engineering



SYSTEM_CAPACITOR_700|ND-iSMB

SYSTEM_CAPACITOR_700_DESC|Внутренняя сверхпроводящая магнитная батарея Nakamura Dynamics — это альтернативное решение для временного хранения энергии, предложенное после успеха вспомогательной энергетической установки NDAPS. Несмотря на мощную защиту от воздействия плазмы перемассировки, его прямое подключение к электрическим шинам судна обеспечивает максимальную скорость разряда и перезаряда с минимальными потерями.

SYSTEM_CAPACITOR_700_SPECS|Емкость: 700 МДж \nПиковая мощность: 10 ГВт \nМасса: 1800 кг \nПроизводитель: Nakamura Dynamics



SYSTEM_CAPACITOR_1400|Двойная связь ND-iSMB

SYSTEM_CAPACITOR_1400_DESC|Два меньших блока iSMB, соединённых мощным балансиром мощности. Благодаря преднамеренному взаимодействию двух магнитных полей, больше энергии может эффективно храниться в меньшем оборудовании.

SYSTEM_CAPACITOR_1400_SPECS|Емкость: 1400 МДж \nПиковая мощность: 10 ГВт \nМасса: 3200 кг \nПроизводитель: Nakamura Dynamics
