SYSTEM_TURBINE_20|Термопарная установка

SYSTEM_TURBINE_20_DESC|Эта простая термопарная установка использует тепловой градиент между реактором судна и топливом для выработки электроэнергии. При этом за борт выбрасывается незначительное количество реакционной массы.

SYSTEM_TURBINE_20_SPECS|Мощность (номинальная): 20 МВт \nРасход рабочего тела: 20 г/с \nМасса: 100 кг \nПроизводитель: «Rusatom-Antonoff»



SYSTEM_TURBINE_160|Ламинарная турбина

SYSTEM_TURBINE_160_DESC|Эта энергоустановка для ядерного реактора использует мощь немецкой инженерии (и оптимизированную с помощью искусственного интеллекта конструкцию) для минимизации турбулентности потока и тепловых потерь в четырёхступенчатой ​​рекуперативной турбине.

SYSTEM_TURBINE_160_SPECS|Мощность (номинальная): 160 МВт \nРасход рабочего тела: 160 г/с \nМасса: 600 кг \nПроизводитель: Boltzmann Waermerkraftmaschinen



SYSTEM_TURBINE_320|Двойная ламинарная турбина

SYSTEM_TURBINE_320_DESC|Эта энергоустановка для атомных реакторов использует мощь немецкой инженерии (и оптимизированную с помощью искусственного интеллекта конструкцию) для минимизации турбулентности потока и тепловых потерь в двух четырёхступенчатых регенеративных турбинных узлах. Перераспределение массы и давления между ними осуществляется равномерно благодаря новому твердотельному корпусу клапана.

SYSTEM_TURBINE_320_SPECS|Мощность (номинальная): 320 МВт \nРасход рабочего тела: 320 г/с \nМасса: 1200 кг \nПроизводитель: Boltzmann Waermerkraftmaschinen
