SHIP_TSUKUYOMI_IOT|Фрегат класса «Tsukuyomi» (списанный)

SHIP_TSUKUYOMI_IOT_DESC|Лёгкие фрегаты класса «Tsukuyomi» были спроектированы в 2190 году для военных операций по всей Солнечной системе. Они стали первыми в своём классе и заложили основу для современных тактических фрегатов, а их пятиконтурные реакторы служили мощным источником энергии для двигателей. После снятия с вооружения ядерных ракет с солёной водой многие из них были утилизированы или проданы частным военным подрядчикам и корпорациям. \n\nБлагодаря верфям Sin Space Engineering этот корабль был полностью демилитаризован и отремонтирован для операций в пределах колец. Его реакторы на солёной воде были заменены тремя модульными защитными оболочками для модернизации установленной современной системы ядерных ракетных двегателей (ЯРД), а носовые торпедные аппараты были разнесены для расширения трюма и добавления четырёх отсеков для вспомогательного оборудования.\n\nСтоит отметить, что «Tsukuyomi» по своей конструкции является боевым кораблём, а не грузовым судном. В том же смысле, в каком у фургона больше грузового пространства, чем у танка, поэтому объём его грузового отсека меньше, чем можно было бы ожидать от корабля такого объёма.

SHIP_TSUKUYOMI_IOT_SPECS|Производство: Sin Space Engineering / Nakamura Dynamics \nВысокопрочные подвесы: 1 \nТорпедные аппараты: 4 \nСтыковочные отсеки: 4 \nБашенные установки: 2 \nЭкипаж: 16 \nСухая масса: 1655 350 кг \nОбъем грузового отсека: 1150 м^3 \nХранилище переработанной руды (на каждый тип): 81 000 кг

SYSTEM_REACTOR_TSUYUKOMI_IOT-A|Ядро реактора Tsukuyomi A
SYSTEM_REACTOR_TSUYUKOMI_IOT-B|Ядро реактора Tsukuyomi B
SYSTEM_REACTOR_TSUYUKOMI_IOT-C|Ядро реактора Tsukuyomi C



SHIP_OCP209_DD|OCP-214-DD "Deep Dish"

SHIP_OCP209_DD_DESC|214-DD — это версия OCP-209, специально адаптированная для горнодобывающих работ в пределах колец. Конструкция, поддерживающая отсеки для расходных материалов, опусташенна и обшита листами для увеличения объёма для хранения сырья, а дополнительная инфраструктура электропитания позволяет устанавливать стандартное оборудование грузового отсека. \n\nНесмотря на очевидные преимущества, карман затрудняет погрузку-разгрузку руды, а уменьшенное пространство для хранения минералов на борту вынуждает капитанов больше полагаться на вспомогательное оборудование, чем на большинстве других судов.\n\nИз-за модификаций судна автопилот не может получать обратную связь напрямую от экскаватора, а функция помощи в повороте автопилота на этом судне недоступна.

SHIP_OCP209_DD_SPECS|Производитель: Obonto Microengineering \nВысокопрочные подвесы: 2 \nМалопрочные подвесы: 2 \nСтыковочные отсеки: 4 \nЭкипаж: 8 \nСухая масса: 190 500 кг\nОбем грузового отсека: 700 м^3\nХранилище переработанной руды (на каждый тип): 36 000 кг



SHIP_OCP209_SNAP|OCP-207-SNAP «Пиранья»

SHIP_OCP209_SNAP_DESC|207-SNAP — это версия OCP-209, в которой реализована конструкция ковша, рассмотренная на этапе разработки прототипа. Его тяжёлые двустворчатые двери лучше подходят для сокрушения рингроидов, чем его аналог, и, к сожалению, хуже для работы с хрупким оборудованием, для которого корабль предназначен. \n\nВвиду уникальной конфигурации, функция помощи при вращении автопилота на этом устройстве недоступна.

SHIP_OCP209_SNAP_SPECS|Производитель: Obonto Microengineering \nВысокопрочные подвесы: 2 \nМалопрочные подвесы: 2 \nСтыковочные отсеки: 4 \nЭкипаж: 8 \nСухая масса: 184 500 кг\nОбем грузового отсека: 610 м^3 \nХранилище переработанной руды (общее): 50 000 кг



SHIP_COTHON_LUX|SSE Cothon-2200-XL

SHIP_COTHON_LUX_DESC|Этот неофициальный «модернизированный» вариант Cothon-213 Triplet отличается дополнительным «отсеком для экипажа» (спасательной капсулой), дополнительной парой поступательных двигателей и рядом «премиальных» особенностей, таких как совмещенный салон и кают-компания, обитые дышащей тканью сиденья и функционирующий санузел. Два отсека соединяются друг с другом стыковочными узлами у основания и крепятся к раме стандартными быстроразъемными соединениями для аварийного отсоединения. XL означает «Extra Love» (дополнительная любовь). \n\nSin Space Engineering не предоставляет никаких гарантий, явных или подразумеваемых.

