SLOT_TURRET_LEFT|Левая турельная установка
SLOT_TURRET_RIGHT|Правая турельная установка



SLOT_TUBE_LEFT_UP|Левый верхний торпедный отсек
SLOT_TUBE_RIGHT_UP|Правый верхний торпедный отсек
SLOT_TUBE_LEFT_DN|Левый нижний торпедный отсек
SLOT_TUBE_RIGHT_DN|Правый нижний торпедный отсек



SLOT_DRONE|Отсек для дрона

SLOT_MAIN_LARGE|Большая главная двигательная установка

SLOT_RCS_LARGE|Большая система управления реактивной системой




IOE_MOD_DESCRIPTION|Этот порт мода Industries of Enceladus направлен на обеспечение полной совместимости с контентом IoE и другими модами на оборудование. \n\nСовместимость с сохранениями, созданными с использованием оригинального IoE, пока не поддерживается.

IOE_MOD_BRIEF|Мод с переработанным контентом, включающий более десятка кораблей, 50 предметов снаряжения и многое другое...
