SYSTEM_THRUSTER_PIN150|Двигатель RMS Pin-C50

SYSTEM_THRUSTER_PIN150_DESC|Двигатель Rasamama Material Solutions Pin-C50 — это уникальная твердотельная система, использующая импульсную индукцию для ускорения и направления водородной плазмы без необходимости использования каких-либо механических компонентов, что значительно снижает риск повреждений, характерный для традиционных двигателей. Однако они испытывают повышенные нагрузки при ускорении и выходят из строя при значительно меньших ускорениях, чем обычные двигатели. \n\nНесмотря на невероятную износостойкость, установка мощных плазменных трубопроводов и поддерживающей энергетической инфраструктуры, а также непосредственное встраивание двигателей в корпус судна требуют привлечения специалистов, что может быть нелегко.

SYSTEM_THRUSTER_PIN150_SPECS|Тяга: 150 кН \nСкорость истечения: 90 км/с \nРасход рабочего тела: 1,6 кг/с \nЭнергопотребление: 90 МВт \nПотребление тепла: 6,8 ГВт \nРежим работы: Виртуально изменяемая тяга \nУгол поворота: 36 градусов \nРабочее тело: Водородная плазма \nМасса: 185 кг (на каждый двигатель) \nПроизводитель: Rasamama Material Solutions



SYSTEM_THRUSTER_BLAST|Двигатель ERS-BlasTR 7200

SYSTEM_THRUSTER_BLAST_DESC|Двигатель BlasTR от Electro Ride Systems — это совершенно новый двигатель NAGHET, использующий спиральный магнитоплазмодинамический ускоритель для достижения впечатляющей тяги при столь же невероятных скоростях истечения. Изначально предназначенный для гоночных судов, он также вызвал интерес у операторов тяжёлых судов, чьи высокие требования к тяге давно уже не удовлетворяются двигателями с низкой экономичностью топлива.

SYSTEM_THRUSTER_BLAST_SPECS|Тяга: 450 кН \nСкорость истечения: 22 км/с \nРасход рабочего тела: 20,5 кг/с \nЭнергопотребление: 72 МВт \nПотребление тепла: 5,0 ГВт \nРежим работы: Изменяемая тяга \nТопливо: Кислородо-водородная плазма \nМасса: 145 кг (на каждый двигатель) \nПроизводитель: Electro Ride Systems



SYSTEM_THRUSTER_PNTRM|Двигатель ND-PNTRm

SYSTEM_THRUSTER_PNTRM_DESC|Выдающийся успех двигателя PNTR показал Nakamura Dynamics, что давнюю проблему хрупких шарнирных креплений можно полностью обойти с помощью твердотельной технологии управления вектором тяги, и компания быстро приступила к эффективному уменьшению масштаба системы для использования в двигателях RCS. \n\nНесмотря на низкую скорость истечения, характерную для чистого ядерного ракетного двигателя (NTR), импульсный ядерный тепловой ракетный двигатель (Micro) компенсирует это самым большим эффективным диапазоном отклонения вектора тяги среди всех представленных на рынке двигателей. Низкие эксплуатационные расходы и быстрый прогрев делают его идеальным для более тяжёлых кораблей с ограниченной компоновкой двигателей с ЭПР.

SYSTEM_THRUSTER_PNTRM_SPECS|Тяга: 450 кН \nСкорость истечения: 5 км/с \nРасход рабочего тела: 90,0 кг/с \nЭнергопотребление: 40 МВт \nПотребление тепла: 1,8 ГВт \nРежим работы: Импульсная тяга \nУгол поворота: 60 градусов \nТопливо: Кислородо-водородная плазма \nМасса: 25 кг (на каждый двигатель) \nПроизводитель: Nakamura Dynamics
