SYSTEM_MAIN_ENGINE_NANI|SSE NANI Torch Refit

SYSTEM_MAIN_ENGINE_NANI_DESC|Этот до смешного непрактичный и совершенно отвратительный основной двигатель — закономерный итог множества ночей, проведённых за пьянством и размышлениями о смысле жизни. Придя к выводу, что смысла нет, команда Sin Space Engineering собралась с мыслями и создала эту штуку. \n\nДисклеймер: Omaewamou-Shindeiru считает это действительно забавным и полностью одобряет использование NANI в качестве основного двигателя. Может привести к аннулированию гарантии на судно. Использование в качестве основного фонаря на некоторых судах может повредить реактор. Веселитесь!

SYSTEM_MAIN_ENGINE_NANI_SPECS|Тяга: 3450 кН \nСкорость истечения: 132 км/с \nРасход рабочего тела: 0,5 кг/с \nЭнергопотребление: 200 МВт \nПотребление тепла: 2 ГВт \nРабочее тело: Сверхкритическая жидкая урановая соль \nВремя горения: 1 минута (прибл.) \nМасса: 10 000 кг \nПроизводитель: Sin Space Engineering / Omaewamou-Shindeiru



SYSTEM_MAIN_ENGINE_GEMINI|Двухцилиндровый двигатель MA-NTR600-II

SYSTEM_MAIN_ENGINE_GEMINI_DESC|NTR600-II, также известный как «Джемини», представляет собой двухцилиндровый магнитоплазмодинамический двигатель, способный обеспечивать достойную тягу при высокой эффективности и надёжности. Двойная схема выхлопа в сочетании с базовой системой управления вектором тяги также обеспечивает дополнительный векторный потенциал, повышая потенциальную эффективность горелки. \n\nВнимание: обслуживание данного устройства должно выполняться только инженерами Mitsudaya-Starbus или лицензированными субподрядчиками. Страховые программы пока недоступны во внешней Солнечной системе.

SYSTEM_MAIN_ENGINE_GEMINI_SPECS|Тяга: 1200 кН \nСкорость истечения: 28 км/с \nРасход рабочего тела: 52 кг/с \nЭнергопотребление: 250 МВт \nПотребление тепла: 16,8 ГВт \nУгол поворота: 60 град \nСкорость поворота: 20 град/с \nРежим работы: Изменяемая тяга \nРабочее тело: Водородная плазма \nМасса: 4350 кг \nПроизводитель: Mitsudaya-Starbus



SYSTEM_MAIN_ENGINE_SOYUZ|Счетверный двигатель RA-TNTRL-R44

