SYSTEM_MWTIGHTBEAM|НМВ пушка RA

SYSTEM_MWTIGHTBEAM_DESC|Направленная микроволновая пушка Rusatom-Antonoff использует длинный трубчатый волновод для концентрации микроволн в узкий пучок излучения. Модульные и неспециализированные компоненты пушки дешевы и просты в ремонте, но их преимущества компенсируются высокой стоимостью установки и средней энергоэффективностью.

SYSTEM_MWTIGHTBEAM_SPECS|Эффективная дистанция: 800 м \nЭнергопотребление: 120 МВт \nВыходная мощность: 90 МВт \nДлина волны: 1 см \nМасса: 400 кг \nПроизводитель: Rusatom-Antonoff



SYSTEM_MWTIGHTBEAM_PDT|НМВ турель RA

SYSTEM_MWTIGHTBEAM_PDT_DESC|Эта версия НМВ пушки Rusatom-Antonoff установлена ​​на корпусе турели NDPT Nakamura Dynamics. Она обладает аналогичными характеристиками управляемости и настраиваемыми параметрами конфигурации, как и линейка рельсовых пушек 42xx для точечной обороны, хотя её карданный привод пришлось понизить для надлежащего управления тяжёлой кабельной системой питания. \n\nНМВ турель может автоматически захватывать и сопровождать цели, но, в отличие от рельсотрона, не требует ручного управления для стрельбы.

SYSTEM_MWTIGHTBEAM_PDT_SPECS|Эффективная дальность: 2000 м \n ИИ наведения: Класс 1 \nЭнергопотребление: 120 МВт \nВыходная мощность: 90 МВт \nДлина волны: 1 см \nМасса: 3000 кг \nПроизводитель: Rusatom



SYSTEM_PDTL|Лазерная турель NDCL-80 для точечной обороны

SYSTEM_PDTL_MANUAL|Автоматически выбирает цели.\nСтреляет автоматически.\nКоординирует по нескольким системам.\nКомпьютер наведения несовершенен.\nОтключите подвес, чтобы предотвратить случайный огонь по своим.\nНаносит термический урон.

SYSTEM_PDTL_DESC|Небольшой лазер, закреплённый на основании башни, обеспечивает широкий охват с точки крепления. Низкая мощность лазера приводит к увеличению нагрузки на разрушение камней, однако снижает наносимый целям урон. Он стреляет автоматически, поэтому пользователям рекомендуется контролировать работу систем опознавания «свой-чужой» (IFF) для предотвращения нежелательных столкновений. \n\nАППАРАТНОЕ ОБЕСПЕЧЕНИЕ ПРЕДОСТАВЛЯЕТСЯ «КАК ЕСТЬ», БЕЗ КАКИХ-ЛИБО ГАРАНТИЙ, ЯВНЫХ ИЛИ ПОДРАЗУМЕВАЕМЫХ. ПОЛЬЗОВАТЕЛЬ НЕСЁТ ВСЮ ОТВЕТСТВЕННОСТЬ ПРИ ИСПОЛЬЗОВАНИИ ДАННОГО ОБОРУДОВАНИЯ.

SYSTEM_PDTL_SPECS|Эффективная дальность: 1000 м \nИИ наведения: Класс 1 \nЭнергопотребление (пиковая): 80 МВт \nМасса: 1500 кг \nПроизводитель: Nakamura Dynamics, Coherent Light
