SYSTEM_CARGO_AUX_PREPROC_0x30|Rasamama RP-25

SYSTEM_CARGO_AUX_PREPROC_0x30_DESC|Rasamama Material Solutions RP-25 - це низькопрофільний попередній переробник руди, призначений виключно для розтоплення льоду з мінеральних шматків у вантажному відсіку судна і не більше того. Установка підключається до лінії скида турбіни реактора для отримання теплової енергії і потребує дуже мало електричної енергії для роботи. \n\nВідновлення рабочої маси відбувається шляхом проходження технологічних вихлопів через конденсаторно-радіаторну панель, змонтовану на корпусі судна. Rasamama MS рекомендує проводити щомісячні тести на прохідність з подальшою продувкою гарячим газом для запобігання утворенню відкладень.

SYSTEM_CARGO_AUX_PREPROC_0x30_SPECS|Швидкість плавлення льоду: 20 кг/c \nЕфективність переробки робочої маси: 45% \nЕнергоспоживання : 1,250 KW / шматок \nБонус ефективності переробки мінералів УПМ: x100% (без змін) \nЗміна швидкості переробки УПМ: -10 кг/с \nЗміна енергоспоживання УПМ: мінімальне зниження \nМаса: 750 кг \nВиробник: Rasamama Material Solutions



SYSTEM_CARGO_AUX_PREPROC_20x10|Nakamura Big MT

SYSTEM_CARGO_AUX_PREPROC_20x10_DESC|Попередній переробник руди Big MT від Nakamura Dynamics використовує фундаментальні принципи своєї роботи на користь переробки шматків руди. Вільна пара у вантажному відсіку перегрівається масивним тороїдальним радіатором, швидко сублімуючи лід і попередньо нагріваючи отримані металеві частинки для більш ефективної обробки. \n\nХоча частина технологічної пари може бути використана як паливо, компактний конденсатор установки часто перевантажений через великий об'єм і високі температури. \n\nЗастереження: жоден Лоботоміт не постраждав при розробці цієї установки.

SYSTEM_CARGO_AUX_PREPROC_20x10_SPECS|Швидкість плавлення льоду: 25 кг/c \nЕфективність переробки рабочої маси: 10% \nЕнергоспоживання : 125 KW / шматок \nБонус ефективності переробки мінералів УПМ: x115% \nШвидкість переробки УПМ: 90% від номінальної \nЕнергоспоживання УПМ: зниження на 10% \nМаса: 2,000 кг \nВиробник: Nakamura Dynamics



SYSTEM_CARGO_AUX_PREPROC_40x20|Rusatom-Antonoff MPP-N1

SYSTEM_CARGO_AUX_PREPROC_40x20_DESC|Одне з найкращих рішень для попередньої переробки руди на ринку, MPP-N1 забезпечує чудове підвищення ефективності та відновлення рабочої маси, за допомогою магнітогідродинамічної системи. \n\nУстановка використовує вихлопні гази реакторної установки як джерело тепла, випромінюючи його у трюм через купол у центрі. Електромагнітні котушки, що оточують купол, контролюють температуру за допомогою індуктивного нагріву. \n\nТехнологічна пара і мікроелементи уловлюються конденсатором з перегородкою. Для забезпечення максимальної ефективності рекомендується заміна конденсатора після 320 годин експлуатації.

SYSTEM_CARGO_AUX_PREPROC_40x20_SPECS|Швидкість плавлення льоду: 40 кг/c \nЕфективність переробки рабочої маси: 20% \nЕнергоспоживання : 375 KW / шматок \nБонус ефективності переробки мінералів УПМ: x130% \nШвидкість переробки УПМ: 80% від номінальної \nЕнергоспоживання УПМ: зниження на 20% \nМаса: 6,500 кг \nВиробник: Rusatom-Antonoff



SYSTEM_CARGO_AUX_PREPROC_MANUAL|Зменшує масу льоду в шматках на великій площі. \nПоповнює запаси рабочої маси. \nКратно підвищує ефективність УПМ. \nКратно знижує швидкість обробки УПМ. \nОбробляє кілька шматків руди одночасно. \nВимоги до потужності та швидкість обробки вказані для одного шматка. \nЗмінює швидкість обробки та енергоспоживання УПМ на шматок. \nНе видобуває мінерали та не руйнує шматки.
 
SYSTEM_CARGO_AUX_PREPROC_NOMINERAL_MANUAL|Зменшує масу льоду в шматках на великій площі. \nПоповнює запаси рабочої маси. \nОбробляє кілька шматків руди одночасно. \nВимоги до потужності та швидкість обробки вказані для одного шматка. \nНе видобуває мінерали та не руйнує шматки.


SYSTEM_CARGO_PREPROC_P15|Rusatom Chunk Cutter
