SYSTEM_CARGO_AUX_STORAGE_4K|Внутрішня стелажна система Conlido

SYSTEM_CARGO_AUX_STORAGE_4K_DESC|Внутрішня стелажна система Conlido RVM, випробувана шахтарями в астероїдному поясі протягом початку 22 століття, - це відносно проста концепція зі складним виконанням. Цей модульний комплект для модернізації дозволяє приєднувати існуючі блоки до ліній обробки матеріалів на більшості великих суден, доступних на ринку у кільці. \n\nДодаткові мікро-відсіки для витратних матеріалів спочатку були модифікаціями від сторонніх виробників, проте їхня шалена популярність змусила Conlindo не надто непомітно включити їх у базову модель.

SYSTEM_CARGO_AUX_STORAGE_4K_SPECS|Місткість переробленого вантажу: 4,000 кг / мінерал (всього 24,000 кг) \nМісткість боєприпасів: 3,000 кг \nМісткість компонентів дронів: 3,000 кг \nМісткість робочої маси: 5,000 кг \nМаса: 3,000 кг \nВиробник: Conlido RVM

SYSTEM_CARGO_AUX_STORAGE_MANUAL|Для правильного використання потрібна Установка Переробки Мінералів. \nПасивно збільшує об'єм переробленого вантажу на борту. \nПерероблена руда зберігається в окремих контейнерах, місткість яких обмежена типом мінералу.\nНе потребує енергії або тепла реактора.


SYSTEM_CARGO_AUX_STORPROC_8K|Модуль мінерального бака THI

SYSTEM_CARGO_AUX_STORPROC_8K_DESC|Внутрішнє рішення для зберігання від Titan Heavy Industries є настільки ж експериментальним, наскільки й новим. Використовуючи тепло реактора від радіаторів судна, оброблені матеріали можуть зберігатися у рідкому стані на невизначений час, збільшуючи ефективність зберігання до 20%. \n\nДеякі шахтарі почали використовувати цей блок як елементарний попередній процесор руди, оскільки відносно тонка ізоляція виділяє тепло в простір між баками. THI не схвалює і не рекомендує використання цього модуля таким чином.

SYSTEM_CARGO_AUX_STORPROC_8K_SPECS|Місткість переробленого вантажу: 8,000кг / мінерал (всього 48,000 кг) \nШвидкість плавлення льоду: 5 кг/c \nЕнергоспоживання: 250 KW / шматок (теплові втрати) \nЕфективність переробки робочої маси: 10% \nШвидкість переробки УПМ: 110% від номінальної \nЕнергоспоживання УПМ: підвищення на 10% \nМаса: 8,000 кг \nВиробник: Titan Heavy Industries

SYSTEM_CARGO_AUX_STORPROC_MANUAL|Для правильного використання потрібна Установка Переробки Мінералів. \nПасивно збільшує об'єм переробленого вантажу на борту. \nПерероблена руда зберігається в окремих контейнерах, місткість яких обмежена типом мінералу. \nЗменшує масу льоду в шматках на малій площі. \nЗаймає місце у вантажному відсіку.



SYSTEM_CARGO_AUX_STORAGE_12K|MPI Roving Silo

SYSTEM_CARGO_AUX_STORAGE_12K_DESC|MPI Roving Silo є безумовно найбільшим 
