SLOT_HULL_CONSUMABLEVAT|Сховище витратних матеріалів


SYSTEM_HULLVAT_AMMO_1|MPI Mounted Ammunition Canister

SYSTEM_HULLVAT_AMMO_1_DESC|Легкий магазин, що традиційно використовується для забезпечення додаткового місця під боєприпаси на суднах Вілсі за рахунок використання менш вживаних коридорів. Незважаючи на встановлення як вторинної системи, він все одно змушений використовувати люк подачі боєприпасів для доставки їх до вузлів кріплення, що обмежує швидкість подачі до швидкості поточного встановленого магазину. Перекриття вентиляційних отворів різними механізмами, що використовуються для подачі, викликає незначну "духоту", про яку повідомляють екіпажі; перебування на суднах з таким обладнанням може стати некомфортним після тривалого часу.

SYSTEM_HULLVAT_AMMO_1_SPECS|Місткість боєприпасів: 6,000 кг \nЗменшення місткості компонентів дронів: 25% \nСуха маса: 3,000 кг \nВиробник: Mineral Processing Inc.

SYSTEM_HULLVAT_AMMO_MANUAL|Додаткові боєприпаси для мас-драйверів. Сумісний з мас-драйверами та рейлганами. \nШвидкість подачі боєприпасів залежить від встановленого магазину. \nБоєприпаси продаються окремо на початку занурення. \nДисплеї сенсорів HUD можуть відображати нові значення коректно або ні.


SYSTEM_HULLVAT_AMMO_2|ND Hollowed Hull Ammunition Magazine

SYSTEM_HULLVAT_AMMO_2_DESC|Спочатку заснований на механізмах контрабанди, що використовувалися під час конфліктів, ND HHAM (часто прозваний інсайдерами індустрії "Ham" — "Шинка") використовує вільний простір у корпусі корабля разом з великою частиною простору картриджа нанодронів, щоб вмістити колосальні 15 тонн додаткових боєприпасів для мас-драйвера. Хоча зазвичай він зарезервований для фахівців з ліцензією Вілсі, "Шинка" потрапила на цивільний ринок завдяки нещодавньому послабленню вимог до ліцензування, дозволяючи тим, у кого "сверблять пальці", займатися видобутком без зайвих проблем і не викликаючи при цьому синдром Кесслера.

SYSTEM_HULLVAT_AMMO_2_SPECS|Місткість боєприпасів: 15,000 кг \nЗменшення місткості компонентів дронів: 50% \nСуха маса: 10,000 кг \nВиробник: Nakamura Dynamics


SYSTEM_HULLVAT_AMMO_EXTEND_1|Antonoff Ammunition Expansion Kit

SYSTEM_HULLVAT_AMMO_EXTEND_1_DESC|Цей набір використовує простір для переробленого вантажу для зберігання додаткових снарядів на базі поточних встановлених комплектів. Відповідно до поточних законів Енцелада про маркування обладнання, відсотки зменшення будуть однаковими для всіх суден, що призводить до потенційної втрати простору на багатьох з них. Однак це піде на користь суднам з меншими внутрішніми трюмами або більшою місткістю магазинів, які отримають менші втрати або більші вигоди від цих законів.

SYSTEM_HULLVAT_AMMO_EXTEND_1_SPECS|Модифікатор місткості боєприпасів: +33% \nМісткість боєприпасів: 1,000 кг \nЗменшення трюму перероблених мінералів: 10% \nСуха маса: 9,000 кг \nВиробник: Antonoff


SYSTEM_HULLVAT_AMMO_EXTEND_2|Antonoff 2x Ammunition Expansion Kit

SYSTEM_HULLVAT_AMMO_EXTEND_2_DESC|Подвійне з'єднання AEK від Conlindo, що забезпечує подвійну потенційну місткість і подвійні обмеження. Через технічні обмеження довелося додати деяку додаткову масу, щоб дозволити двом механізмам працювати одночасно.

