locale|uk_UA

SHIP_YME|Y-ME Fission Retrofit

SHIP_YME_SPECS|Вироблено: Розлючені колишні співробітники Eon Interstellar \nВисокоміцні кріплення: 1 \nНизькоміцні кріплення: 2 \nЕкіпаж: 5 \nСуха маса: 34,500 кг \nВантажний відсік: 140 м^3 \nСклад обробленого вантажу (на мінерал): 11,000 кг

SHIP_YME_DESC|Цей корабель створили кілька роздратованих співробітників Eon Interstellar, які пішли з компанії через те, як вона керувала своїми працівниками та піаром. Вони об'єдналися, щоб створити економічно вигідніше судно, зробивши блискучий корпус EIME доступнішим для тих, хто не займає високих посад. \n\nЧерез особливості оригінального корпусу EIME він потребував встановлення спеціального рідинного реактора — те, чого багато кінцевих користувачів хотіли бачити в оригінальному судні. Для модернізації було використано старий реактор, що залишився від К37, списаних під час будівництва житлових модулів Енцелад Прайм, оскільки вони були у вільному доступі.

SYSTEM_REACTOR_EIME_REFIT|Адаптований рідинний реактор

SHIP_OCP-SALVAGE|Відновлений корпус ОБП-209

SHIP_OCP-SALVAGE_SPECS|Вироблено: Obonto Microengineering \nМаніпулятори на місці вантажного відсіку: 1 \nВисокоміцні кріплення: 2 \nНизькоміцні кріплення: 2 \nЕкіпаж: 8 \nСуха маса: 184,500 кг \nВантажний відсік: так \nСклад обробленого вантажу (сукупний): 50,000 кг

SHIP_OCP-SALVAGE_DESC|Це судно знайшли в провулку за Sin Space Engineering. Ми запитали, чи можна його забрати, і (неоплачуваний) стажер, що працював в атріумі, сказав, що йому байдуже, тож ми його й забрали. Весь вантажний відсік вирізали і замінили на маніпулятор; ми вважаємо, що це частково для створення конкуренції MAD-CERF, а частково тому, що Sin Space Engineering не знали, що робити з рештою ОБП після випуску лінійки кораблів OK720.

SHIP_CK65|CK-65

SHIP_CK65_SPECS|Вироблено: Conlindo / Rusatom-Antonoff \nНизькоміцні кріплення: 2 \nКріплення дронів: 2 \nЕкіпаж: 12 \nСуха маса: 82,000 кг \nВантажний відсік: 40 м^3 \nСклад обробленого вантажу (на мінерал): 37,500 кг

SHIP_CK65_DESC|Зростання популярності переробників мінералів викликало потребу в кораблях, здатних перевозити значні їх кількості для міжпланетних подорожей. Столітня історія кораблів класу Cothon продемонстрировала життєздатність використання автоматизованих суден для подорожей, і саме Eagle були обрані для реалізації цього нового задуму. \n\nЗначну частину його вантажного відсіку випотрошили, щоб встановити 6 гігантських відсіків для зберігання переробленого вантажу, а також розкішні житлові приміщення для розміщення 12 пасажирів. Значну частину обладнання Eagle залишили для зручності капітанів, проте подрібнювач замінили на стандартний екскаватор для забезпечення більшої надійності.

SHIP_CK69|CK-69

SHIP_CK69_SPECS|Вироблено: Conlindo / Rusatom-Antonoff \nНизькоміцні кріплення: 2 \nКріплення дронів: 2 \nЕкіпаж: 12 \nСуха маса: 102,000 кг \nВантажний відсік: 40 м^3 \nСклад обробленого вантажу (сукупний): 200,000 кг

SHIP_CK69_DESC|Успіх CK-65 привів до створення більш досконалого CK-69, здатного працювати з будь-якою кількістю руди, але за рахунок дещо меншої загальної місткості трюму. Він знайшов своє застосування під час спадів пропускної здатності на Енцеладі, коли простір на стандартному CK-65 марнувався б через відсутність певного мінералу, проте став дуже популярним серед шахтарів, які могли надійніше повертатися з великими обсягами руди.

SHIP_PROSPECTOR_RAM|Prospector RAM

SHIP_PROSPECTOR_RAM_DESC|"Ringa Aftermarket Modification" (RAM) жертвує вантажним простором заради розширених можливостей, використовуючи списані та контрафактні деталі від різних моделей кораблів. Модифікація високоміцного кріплення від Vulture, електроніка та сенсори KR-37, змінне сховище перероблених ресурсів від Cothon Bender тощо. \n\nRAM також має багато оригінальних модифікацій. Короткий широкий вантажний відсік, більші вантажні двері та більший подрібнювач, посилена та модернізована опора маніпулятора, система маневрових двигунів та турелі, посилений реактор тощо. Все це коштує дуже високої маси для судна такого розміру, зменшеної вдвічі місткості перероблених ресурсів, зменшеного екіпажу та надзвичайно високої ціни. Prospector RAM може впоратися з будь-якою ситуацією в кільці, але його велика маса і низька місткість роблять його посереднім шахтарським судном.

SHIP_PROSPECTOR_RAM_SPECS|Виробник: Невідомий \nВисокоміцні кріплення: 1 \nНизькоміцні кріплення: 2 \nКріплення дронів: 2 \nЕкіпаж: 4 \nСуха маса: 54,380 кг \nСклад обробленого вантажу (сукупний): 40,000 кг \nЗахист від ЕМІ: 200 MW

SHIP_OCP213_TWIN|ОБП-213 "Близнюк"

SHIP_OCP213_TWIN_SPECS|Вироблено: Obonto Microengineering \nВисокоміцні кріплення: 2 \nНизькоміцні кріплення: 2 \nЕкіпаж: 8 \nСуха маса: 187,500 кг \nВантажний відсік: 610 м^3 \nСклад обробленого вантажу (сукупний): 50,000 кг

SHIP_OCP213_TWIN_DESC|Незначна модифікація стандартного ОБП-209, "Близнюк" додає друге кріплення для головного двигуна і розводить їх у V-подібну форму, що дозволяє виконувати більш різноманітні маневри, особливо при поєднанні переміщення та обертання.

SHIP_TRTL_PEEPER|OCK Peeper TNTRL

SHIP_TRTL_PEEPER_DESC|Індивідуальна модифікація OK720 від Sin Space Engineering. Житловий модуль екіпажу переміщено за вантажний відсік для безпечнішої експлуатації, щоб удари, спричинені видобутком, відбувалися далі від місць, де вони можуть завдати травм. Нестандартна форма передньої частини судна значно зміщує точки кріплення від центру, проте додаткові структурні елементи на вантажному відсіку дозволяють розмістити високоміцне кріплення вздовж хребта. \n\nЧерез особливості переміщеного житлового модуля між ними встановлено великий свинцевий радіаційний щит, а екіпажам надається безкоштовний запас Ketron Isoboost (150 мг на день) під час польоту та протягом місяця після нього.

SHIP_TRTL_PEEPER_SPECS|Вироблено: Conlindo / Obonto Microengineering \nВисокоміцні кріплення: 1 \nНизькоміцні кріплення: 4 \nЕкіпаж: 4 \nСуха маса: 101,400 кг \nВантажний відсік: 600 м^3 \nСклад обробленого вантажу (сукупний): 25,000 кг
