SLOT_TURRET_LEFT|Лівий турельний підвіс
SLOT_TURRET_RIGHT|Правий турельний підвіс



SLOT_TUBE_LEFT_UP|Лівий верхній торпедний апарат
SLOT_TUBE_RIGHT_UP|Правий верхній торпедний апарат
SLOT_TUBE_LEFT_DN|Лівий нижній торпедний апарат
SLOT_TUBE_RIGHT_DN|Правий нижній торпедний апарат



SLOT_DRONE|Підвіс для дронів

SLOT_MAIN_LARGE|Великий головний двигун

SLOT_RCS_LARGE|Великі маневрові двигуни



IOE_MOD_DESCRIPTION|Цей порт мода Industries of Enceladus має на меті забезпечити повну сумісність контенту IoE з іншими модами обладнання. \n\nСумісність зі збереженнями, що використовують оригінальний IoE, поки що не підтримується.

IOE_MOD_BRIEF|Контентний мод з понад дюжиною кораблів, 50 одиницями обладнання та багато іншого...
