SYSTEM_THRUSTER_PIN150|Маневровий двигун RMS Pin-C50

SYSTEM_THRUSTER_PIN150_DESC|Rasamama Material Solutions Pin-C50 - це унікальна твердотільна рушійна система, яка використовує імпульсну індукцію для прискорення і векторизації водневої плазми без використання будь-яких механічних компонентів, що значно мінімізує проблеми, пов'язані з пошкодженнями, які виникають при використанні звичайних рушіїв. Однак вони зазнають додаткового навантаження під час прискорення і виходять з ладу при значно нижчих прискореннях, ніж звичайні рушії. \n\nНезважаючи на неймовірну зносостійкість, встановлення важких плазмопроводів і допоміжної енергетичної інфраструктури, а також безпосереднє вбудовування рушіїв у корпус судна вимагає допомоги спеціалістів, яку може бути важко собі дозволити.

SYSTEM_THRUSTER_PIN150_SPECS|Тяга: 150 kN \nШвидкість вихлопу: 90 км/c \nВитрата робочої маси: 1.6 кг/c \nЕнергоспоживання: 90 MW \nТеплоспоживання: 6.8 GW \nРежим роботи: Віртуално змінна тяга \nМаксимальне відхилення вектору тяги: 36 град \nРобоча маса: Воднева плазма \nМаса: 185 кг (на двигун) \nВиробник: Rasamama Material Solutions



SYSTEM_THRUSTER_BLAST|Маневровий двигун ERS-BlasTR 7200

SYSTEM_THRUSTER_BLAST_DESC|BlasTR від Electro Ride Systems - це повне відхилення від їхнього попереднього NAGHET, в якому використовується гвинтовий магнітоплазмодинамічний прискорювач для досягнення вражаючої тяги при настільки ж неймовірних швидкостях вихлопних газів. Першочергово призначена для гоночних суден, вона також зацікавила операторів важких суден, чиї високі вимоги до тяги довгий час не задовольнялися рушіями з низькою економічністю палива.

SYSTEM_THRUSTER_BLAST_SPECS|Тяга: 450 kN \nШвидкість вихлопу: 22 км/c \nВитрата робочої маси: 20.5 кг/c \nЕнергоспоживання: 72 MW \nТеплоспоживання: 5.0 GW \nРежим роботи: Змінна тяга \nРобоча маса: Киснево-воднева плазма \nМаса: 145 кг (на двигун) \nВиробник: Electro Ride Systems



SYSTEM_THRUSTER_PNTRM|Маневровий двигун ND-PNTRm

SYSTEM_THRUSTER_PNTRM_DESC|Видатний успіх PNTR показав Nakamura Dynamics, що віковічну проблему делікатних шарнірних кріплень можна повністю обійти за допомогою твердотільної технології векторизації тяги, і компанія швидко приступила до роботи над ефективним зменшенням масштабу системи для використання в якості маневрових двигунів. \n\nНезважаючи на низьку швидкість вихлопу чистому вигляді, Імпульсний Ядерний Тепловий Двигун (мікро) компенсує це найбільшим ефективним діапазоном векторної тяги на сучасному ринку. Його низька експлуатаційна вартість і швидкий прогрів роблять його ідеальним для важчих кораблів з обмеженою конфігурацією маневрових двигунів

SYSTEM_THRUSTER_PNTRM_SPECS|Тяга: 450 kN \nШвидкість вихлопу: 5 км/с \nВитрата робочої маси: 90.0 кг/с \nЕнергоспоживання: 40 MW \nТеплоспоживання: 1.8 GW \nРежим роботи: Імпульсна тяга \nМаксимальне відхилення вектору тяги: 60 град \nРобоча маса: Киснево-воднева плазма \nМаса: 25 кг (на двигун) \nВиробник: Nakamura Dynamics
