SYSTEM_MAIN_ENGINE_NANI|Модернізація двигуна SSE NANI

SYSTEM_MAIN_ENGINE_NANI_DESC|Цей комічно непрактичний і абсолютно огидний головний рушій є логічним завершенням багатьох ночей, проведених за випивкою та роздумами про мету життя. Прийшовши до висновку, що її немає, команда Sin Space Engineering зібралася з думками і створила цю річ. \n\nЗастереження: Omaewamou-Shindeiru вважає, що це дуже смішно і повністю схвалює використання NANI в якості рушія. Може анулювати гарантію на судно. Використання як головного двигуна в деяких судинах може пошкодити ваш реактор.

SYSTEM_MAIN_ENGINE_NANI_SPECS|Тяга: 3,450 kN \nШвидкість вихлопу: 132 км/c \nВитрата робочої маси: 0.5 кг/c \nЕнергоспоживання: 200 MW \nТеплоспоживання: 2 GW \nРобоча маса: Надкритична рідка уранова сіль \nЧас роботи: 1 хвилина (прибл.) \nМаса: 10,000 кг \nВиробник: Sin Space Engineering / Omaewamou-Shindeiru



SYSTEM_MAIN_ENGINE_GEMINI|Подвійний двигун MA-NTR600-II 

SYSTEM_MAIN_ENGINE_GEMINI_DESC|NTR600-II, також відомий як "Gemini", - це подвійний магнітоплазмодинамічний рушій, здатний забезпечити пристойну тягу з відмінною ефективністю і надійністю.  \n\nЗастереження:  технічне обслуговування цієї конструкції повинно виконуватися тільки інженерами Mitsudaya-Starbus або ліцензованими субпідрядниками. Страхові плани поки що недоступні у зовнішній сонячній системі.

SYSTEM_MAIN_ENGINE_GEMINI_SPECS|Тяга: 1,200 kN \nШвидкість вихлопу: 28 км/c \nВитрата робочої маси: 52 кг/c \nЕнергоспоживання: 250 MW \nТеплоспоживання: 16.8 GW \nМаксимальне відхилення вектору тяги: 60 град \nШвидкість зміни вектору тяги: 20 град/с \nРежим роботи: Змінна тяга \nРобоча маса: Воднева плазма \nМаса: 4,350 кг \nВиробник: Mitsudaya-Starbus



SYSTEM_MAIN_ENGINE_SOYUZ|Четверний двигун RA-TNTRL-R44 

SYSTEM_MAIN_ENGINE_SOYUZ_DESC|Це вже не фантазія, що цей "рушій" існує. Rusatom-Antonoff мав на меті конкурувати з іншими багато-двигунними збірками, представивши свою власну, але розробка йшла повільно, і до кінця 22-го століття було випробувано багато прототипів, які зазнали невдачі, не знайшовши жодного життєздатного рішення. \n\nМіфи про процес його винайдення різняться, але загалом припускають, що провідного конструктора проекту відвідав уві сні привид легендарного радянського інженера-ракетобудівника Валентина Глушка. Він промовив одне слово "Союз", а потім пішов, залишивши маневровий двиген К44 біля ніг конструктора. \n\nВиробництво цих комбінованих двигунів триває і донині, і це одна з причин, чому рушій К44 все ще такий поширений.

SYSTEM_MAIN_ENGINE_SOYUZ_SPECS|Тяга: 1,600 kN \nШвидкість вихлопу: 15 км/c \nВитрата робочої маси: 106.4 кг/c \nЕнергоспоживання: 60 MW \nТеплоспоживання: 12.0 GW \nРежим роботи: Імпульсна тяга \nРобоча маса: Киснево-воднева плазма \nМаса: 650 кг \nВиробник: Rusatom-Antonoff



SYSTEM_MAIN_ENGINE_THUNDER|Четверний двигун RA-K69V 

SYSTEM_MAIN_ENGINE_THUNDER_DESC|Цей рушій - виготовлений на замовлення елемент обладнання, який використовує раму R44 і замінює його двигуни на двигуни K69V, в комплекті з кріпленнями карданного підвісу, якими ця лінійка так відома серед гонщиків кілець. Установку можна доповнити опціональною і повністю легальною модифікацією транспондера "класу Thunderbarge".

SYSTEM_MAIN_ENGINE_THUNDER_SPECS|Тяга: 1,600 kN \nШвидкість вихлопу: 12 км/c \nВитрата робочої маси: 133.2 кг/c \nЕнергоспоживання: 100 MW \nТеплоспоживання: 14.4 GW \nРежим роботи: Імпульсна тяга, Змінний вектор тяги \nМаксимальне відхилення двигуна: 25 град \nШвидкість зміни вектору тяги: 360 град/c \nРобоча маса: Киснево-воднева плазма \nМаса: 950 кг \nВиробник: Custom-built / Rusatom-Antonoff



SYSTEM_MAIN_ENGINE_PIN1200|Двигун RMS Pin-M200 

SYSTEM_MAIN_ENGINE_PIN1200_DESC|У двигуну Pin-M200 компанії Rasamama Material Solutions реалізована та сама технологія імпульсної індукції, що й у серії твердотільних маневрових двигунів Pin-150, але у більшому масштабі. Масштабування технології робить рушій більш крихким, проте його надійність все ще знаходиться в межах даних конкурентів. \n\nМасштабована технологія має теплоспоживання понад 60 ГВт безпосередньо від реактора. Враховуючи, що це випереджає навіть гоночні реактори, було вирішено включити мікротермоядерний реактор для живлення. На відміну від аналогічних термоядерних рушіїв, цей реактор використовується виключно для забезпечення тепла, а не є необхідним для створення тяги. Обмежений бак термоядерного палива обмежує час горіння приблизно до півтори години.

SYSTEM_MAIN_ENGINE_PIN1200_SPECS|Тяга: 1,200 kN \nШвидкість вихлопу: 105 км/c \nВитрата робочої маси: 11.4 кг/c \nЕнергоспоживання: 550 MW \nМаксимальне відхилення вектору тяги: 40 град \nРежим роботи: Змінна тяга \nРобоча маса: Воднева плазма / уранова сіль \nЧас горіння: 90 хвилин (прибл.) \nМаса: 11,350 кг \nВиробник: Rasamama Material Solutions



SYSTEM_MAIN_ENGINE_CRACK|Двигун NDDFD

SYSTEM_MAIN_ENGINE_CRACK_DESC|Двигун спрямованої термоядерної детонації від Nakamura Dynamics є одним з найпотужніших - і найперших! - термоядерних рушіїв, що досі існують на ринку. Популяризований тепер сумнозвісною рекламою 2214, що супроводжувалася піснею Vengaboys "Boom, Boom, Boom, Boom", NDDFD використовує потужні електромагніти для подрібнення перегрітих феромагнітних оболонок, що містять дейтерій і тритій під тиском, а потім спрямовує детонацію, що утворюється в результаті, назовні через сопло у вигляді клітки. \n\nНа відміну від свого конкурента, NDDFD потребує величезного і безперервного постачання енергії для підтримання тяги, а його відносно великі паливні таблетки і спеціалізоване обладнання подачі різко обмежують запас палива на малих суднах.

SYSTEM_MAIN_ENGINE_CRACK_SPECS|Тяга: 1,800 kN \nШвидкість вихлопу: 1,850 км/c \nВитрата робочої маси: 1 кг/c \nЕнергоспоживання: 445 MW \nРежим роботи: Імпульсна тяга \n Робоча маса: Воднева плазма \nТермоядерне паливо: D-T \nЧас роботи: 30 хвилин (прибл.) \nМаса: 4,650 кг \nВиробник: Nakamura Dynamics



SYSTEM_MAIN_ENGINE_ZURBIN|Двигун ND ZURBIN

SYSTEM_MAIN_ENGINE_ZURBIN_DESC|Двигун Zurbin є високопродуктивним головним двигуном фрегатів класу "Tsukuyomi". Нині виведені з експлуатації, ці двигуни все ще використовуються на фрегатах, хоча часи їхньої участі в бойових діях давно минули. Nakamura Dynamics докладала зусиль для повторного використання двигунів зі списаних фрегатів, встановлюючи їх на автономних заправних станціях класу Phage.

SYSTEM_MAIN_ENGINE_ZURBIN_SPECS|Тяга: 6,900 kN \nШвидкість вихлопу: 66 км/с \nВитрата робочої маси: 104.5 кг/с \nЕнергоспоживання: 50 MW \nРежим роботи: Змінна тяга \nРобоча маса: Киснево-воднева плазма \nМаса: 10,000 кг \nВиробник: Nakamura Dynamics



SYSTEM_MAIN_ENGINE_PMS|Двигун ND PMS

SYSTEM_MAIN_ENGINE_PMS_DESC|PMS є раннім попередником двигуна NTTR. Перший великий рушій типу NTR від Nakamura Dynamics має жахливу економію робочої маси та недостатню тягу для чистого NTR, але все ж відзначається своєю неймовірною надійністю. Здатний працювати під навантаженнями, що значно перевищують будь-які інші двигуни на ринку, і будучи неймовірно міцним для своєї потужності, PMS все ще затребуваний як двигун, здатний продовжувати роботу навіть у ситуаціях, які вважалися б критичними при використанні альтернатив.

SYSTEM_MAIN_ENGINE_PMS_SPECS|Тяга: 3,000 kN \nШвидкість вихлопу: 3 км/с \nВитрата робочої маси: 1,000 кг/с \nЕнергоспоживання: 20 MW \nТеплоспоживання: 4.5 GW \nРежим роботи: Змінна тяга \nРобоча маса: Киснево-воднева плазма \nМаса: 250 кг \nВиробник: Nakamura Dynamics
