SYSTEM_MWTIGHTBEAM|Направлена Микрохвильова Гармата RA

SYSTEM_MWTIGHTBEAM_DESC|Направлена Мікрохвильова Гармата від Rusatom-Antonoff використовує довгий трубчастий хвильовод для концентрації мікрохвиль в щільний промінь випромінювання. Його модульні і непрофільовані компоненти є дешевими і швидко ремонтуються, але це компенсується високими витратами на встановлення і середньою енергоефективністю.

SYSTEM_MWTIGHTBEAM_SPECS|Ефективна дальність: 800 м \nЕнергоспоживання: 120 MW \nВихідна потужність: 90 MW \nДовжина хвилі: 1 см \nМаса: 400 кг \nВиробник: Rusatom-Antonoff


SYSTEM_MWTIGHTBEAM_PDT|Направлена Микрохвильова Гармата RA на турелі

SYSTEM_MWTIGHTBEAM_PDT_DESC|Ця версія Направленої Мікрохвильової Гармати від Rusatom-Antonoff встановлена на корпус турелі Nakamura Dynamics NDPT. Вона має схожі характеристики керування і можливості налаштування параметрів конфігурації з їхньою лінійкою точкових оборонних турелей 42xx, хоча її гімбальний привід зменшено для належного керування важкими кабелями змінного струму. \n\nНМГ-турель може автоматично захоплювати і відстежувати цілі, але, на відміну від свого колеги рейкотрона, не потребує ручного керування для ведення вогню.

SYSTEM_MWTIGHTBEAM_PDT_SPECS|Ефективна дальність: 800 м \nШІ наведення: Клас 1 \nЕнергоспоживання: 120 MW \nВихідна потужність: 90 MW \nДовжина хвилі: 1 см \nМаса: 3,000 кг \nВиробник: Rusatom

SYSTEM_PDTL|Лазерна турель точкової оборони NDCL-80

SYSTEM_PDTL_MANUAL|Автоматично вибирає цілі.\nВеде вогонь автоматично.\nКоординує в кількох системах.\nЦільовий комп'ютер недосконалий.\nВимкніть кріплення, щоб запобігти випадковому дружньому вогню.\nЗавдає термічну шкоду.

SYSTEM_PDTL_DESC|Невеликий лазер, прикріплений до основи турелі, забезпечує широкий кут огляду з місця встановлення. Нижча потужність потребує трохи більше часу на руйнування каменів, проте це зменшує пошкодження по цілях. Він стріляє автоматично, тому користувачам рекомендується мати належний контроль над своїми системами IFF, щоб запобігти небажаним конфліктам. \n\nОБЛАДНАННЯ НАДАЄТЬСЯ «ЯК Є», БЕЗ БУДЬ-ЯКИХ ГАРАНТІЙ, ЯВНИХ ЧИ НЕЯВНИХ. КОРИСТУВАЧ БЕРЕ НА СЕБЕ ВСЮ ВІДПОВІДАЛЬНІСТЬ ЗА ВИКОРИСТАННЯ ЦЬОГО ОБЛАДНАННЯ.

SYSTEM_PDTL_SPECS|Ефективна дальність: 1,000 м \nШІ наведення: Клас 1 \nЕнергоспоживання (пікове): 80 MW \nМаса: 1,500 кг \nВиробник: Nakamura Dynamics, Coherent Light
